YYYYMMDD,Y,X1,X2
20150101,5.211607,32.933338,-2035.01001
20150201,5.470409,34.945751,-1954.5
20150301,5.49602,35.456841,364.889893
20150401,5.449748,40.990986,-1705.48999
20150501,5.567333,38.938641,-2351.610107
20150601,5.551001,36.814423,8345.110107
20150701,5.743166,32.493252,-3543.159912
20150801,5.400753,28.824907,-4358.819946
20150901,5.289701,28.47172,5129.030029
20151001,5.664231,30.719273,-4053.639893
20151101,5.700704,30.061062,5782.409912
20151201,5.3866,28.327234,6692.939941
20160101,5.299088,25.59256,2926.23999
20160201,5.199128,24.837904,-610.77002
20160301,5.528395,27.700666,5839.73999
20160401,5.542121,27.503796,-3361.699951
20160501,5.634775,27.602232,5602.949951
20160601,5.549557,28.069788,3023.860107
20160701,5.798351,29.276255,6896.600098
20160801,5.813792,30.614885,3068.949951
20160901,5.838959,31.40814,-803.72998
20161001,5.741157,30.457891,4324.149902
20161101,5.775473,31.061096,8303.810059
20161201,5.631344,28.681316,3044.830078
20170101,6.060954,30.924273,7323.870117
20170201,6.253823,32.196976,186.639893
20170301,6.392455,32.44141,2112.719971
20170401,6.572926,32.475124,8907.199951
20170501,6.8092,33.832115,4272.800049
20170601,6.781891,33.469692,3274.409912
20170701,7.021728,36.012867,3884.300049
20170801,7.13452,37.452038,8387.649902
20170901,7.195074,37.282715,-82.639893
20171001,7.535238,38.882725,6193.26001
20171101,7.655156,39.085892,1190.580078
20171201,7.270468,39.085892,-2632.389893
20180101,8.395199,45.475006,6449.810059
20180201,8.079665,40.769508,-2347.169922
20180301,7.916095,40.786777,657.870117
20180401,8.011009,40.519123,3733.050049
20180501,8.335883,40.320538,5209.27002
20180601,8.412962,37.100079,4568.370117
20180701,8.576037,38.160461,6191.290039
20180801,8.962698,37.084408,3180.52002
20180901,8.975438,37.46059,8700.97998
20181001,8.102738,34.372417,6473.73999
20181101,8.160071,36.760727,2014.169922
20181201,7.013455,34.188702,3191.850098
20190101,8.212782,38.160263,5011.100098
20190201,8.335463,38.5937,-394.51001
20190301,8.59522,39.159824,3917.399902
20190401,9.014667,39.354427,-3403.169922
20190501,8.498953,35.710003,-1097.939941
20190601,9.062799,37.832966,7809.76001
20190701,9.145312,36.724892,8318.379883
20190801,8.980285,34.955662,-3956.540039
20190901,8.842762,35.563274,6484.73999
20191001,9.090304,36.769573,4614.560059
20191101,9.482246,36.581924,7690.97998
20191201,9.427238,38.985577,-690.219971
20200101,9.961335,36.17889,-2665.47998
20200201,9.306732,37.016445,-1095.780029
20200301,8.423757,34.176033,311.590088
20200401,9.64864,35.131947,7753.429932
20200501,10.271825,35.550716,4966.310059
20200601,10.687283,36.142475,-1518.709961
20200701,11.453732,37.976315,5283.120117
20200801,12.556842,40.353844,6126.310059
20200901,11.947982,38.554634,8097
20201001,11.568339,40.482361,720.959961
20201101,12.535353,43.144466,5999.629883
20201201,12.005286,42.621231,9303.070068
20210101,12.785093,45.992546,1350.23999
20210201,12.692558,45.722328,3594.149902
20210301,13.254615,43.476742,-733.110107
20210401,14.185595,43.122662,-1927.830078
20210501,14.217154,43.085392,7479.109863
20210601,14.800987,43.169254,9327.5
20210701,15.116572,37.898449,-1185.740234
20210801,15.802976,38.272385,7649.680176
20210901,14.856215,36.393356,3230.540039
20211001,15.889759,37.702133,1243.379883
20211101,15.87398,35.701572,6037
20211201,14.800987,34.196484,6020.180176
20220101,14.771648,35.868458,10066.54981
20220201,13.870938,32.994438,3538.939941
20220301,14.51276,30.224419,4679.410156
20220401,12.835538,29.250658,-2729.069824
20220501,12.670422,30.120428,7751.149902
20220601,11.558067,32.058495,-3076.620117
20220701,12.60959,28.844515,8732.290039
20220801,12.105554,28.683105,5401
20220901,11.114862,24.552969,-826.379883
20221001,11.636279,19.891132,3098.97998
20221101,12.244598,26.736721,1577.110107
20221201,10.506543,26.869644,7120.5
20230101,12.376671,30.831797,5665.600098
20230201,11.975884,27.108711,-1995.850098
20230301,12.865257,28.630911,7025.310059
20230401,13.281515,27.467447,1042.47998
20230501,13.620329,25.1793,7525.830078
20230601,14.443164,26.362156,2396.379883
20230701,15.043348,29.656986,10804.95996
20230801,14.898143,26.712734,2324.660156
20230901,14.423802,25.864557,10754.04981
20231001,14.288277,24.87989,4874.799805
20231101,15.459607,24.528921,7051.799805
20231201,15.575771,23.427265,-2349.169922
20240101,16.857918,21.76,8263.649902
20240201,18.426792,23.42,7961.27002
20240301,18.969999,24.07,4275.350098
20240401,18.09,25.49,3426.689941
